age,job,marital,education,y
56,housemaid,married,basic.4y,0
57,services,married,high.school,0
37,services,married,high.school,0
40,admin.,married,basic.6y,0
56,services,married,high.school,0
45,services,married,basic.9y,0
59,admin.,married,professional.course,0
41,blue-collar,married,unknown,0
24,technician,single,professional.course,0
25,services,single,high.school,0
41,blue-collar,married,unknown,0
25,services,single,high.school,0
29,blue-collar,single,high.school,0
57,housemaid,divorced,basic.4y,0
35,blue-collar,married,basic.6y,0
54,retired,married,basic.9y,0
35,blue-collar,married,basic.6y,0
46,blue-collar,married,basic.6y,0
50,blue-collar,married,basic.9y,0
39,management,single,basic.9y,0
30,unemployed,married,high.school,0
55,blue-collar,married,basic.4y,0
55,retired,single,high.school,0
41,technician,single,high.school,0
37,admin.,married,high.school,0
35,technician,married,university.degree,0
59,technician,married,unknown,0
39,self-employed,married,basic.9y,0
54,technician,single,university.degree,0
55,unknown,married,university.degree,0
46,admin.,married,unknown,0
59,technician,married,unknown,0
49,blue-collar,married,unknown,0
54,management,married,basic.4y,0
54,blue-collar,divorced,basic.4y,0
55,unknown,married,basic.4y,0
34,services,married,high.school,0
52,technician,married,basic.9y,0
41,admin.,married,university.degree,0
56,technician,married,basic.4y,0
58,management,unknown,university.degree,0
32,entrepreneur,married,high.school,0
38,admin.,single,professional.course,0
57,admin.,married,university.degree,0
44,admin.,married,university.degree,0
42,technician,single,professional.course,0
57,admin.,married,university.degree,0
40,blue-collar,married,basic.9y,0
35,admin.,married,university.degree,0
45,blue-collar,married,basic.9y,0
54,admin.,married,high.school,0
39,housemaid,married,basic.4y,0
60,admin.,married,high.school,0
53,admin.,single,professional.course,0
55,blue-collar,married,basic.4y,0
55,technician,married,professional.course,0
50,management,married,university.degree,0
45,services,married,high.school,0
55,unemployed,married,professional.course,0
25,technician,single,university.degree,0
47,entrepreneur,married,university.degree,0
51,blue-collar,married,basic.9y,0
42,blue-collar,married,basic.6y,0
42,blue-collar,married,basic.6y,0
48,admin.,married,high.school,0
37,admin.,married,university.degree,0
44,blue-collar,single,basic.9y,0
33,admin.,married,unknown,0
56,admin.,married,basic.9y,0
44,blue-collar,single,basic.4y,0
41,management,married,basic.6y,0
44,management,divorced,university.degree,0
47,admin.,married,university.degree,0
57,unknown,married,unknown,0
37,admin.,married,university.degree,0
55,technician,married,university.degree,0
33,services,married,high.school,0
55,management,married,unknown,0
42,blue-collar,married,basic.9y,0
50,blue-collar,married,basic.4y,0
51,blue-collar,married,basic.4y,0
38,admin.,married,high.school,0
38,technician,single,university.degree,0
31,admin.,divorced,high.school,0
41,management,married,basic.6y,0
39,admin.,married,university.degree,0
34,admin.,married,high.school,0
35,admin.,married,university.degree,0
57,unknown,married,unknown,0
60,admin.,married,unknown,0
33,unemployed,married,basic.9y,0
42,blue-collar,married,basic.6y,0
45,services,married,professional.course,0
42,management,married,university.degree,0
53,admin.,divorced,university.degree,0
37,technician,single,professional.course,0
44,blue-collar,married,basic.6y,0
54,services,married,unknown,0
49,blue-collar,married,basic.4y,0
54,services,married,unknown,0
52,admin.,divorced,university.degree,0
52,admin.,divorced,university.degree,0
43,services,single,high.school,0
34,housemaid,married,basic.6y,0
35,admin.,married,high.school,0
42,entrepreneur,married,unknown,0
43,technician,married,unknown,0
60,retired,divorced,university.degree,0
58,unemployed,married,basic.4y,0
35,services,divorced,high.school,0
55,blue-collar,married,basic.9y,0
37,management,married,university.degree,0
36,blue-collar,married,high.school,0
52,admin.,divorced,university.degree,0
57,blue-collar,divorced,unknown,0
56,admin.,married,unknown,0
48,blue-collar,divorced,basic.4y,0
40,blue-collar,married,high.school,0
49,blue-collar,divorced,high.school,0
41,services,married,high.school,0
45,technician,married,high.school,0
32,admin.,married,university.degree,0
42,admin.,married,university.degree,0
50,admin.,married,basic.6y,0
31,technician,divorced,professional.course,0
56,retired,married,basic.4y,0
37,blue-collar,married,basic.6y,0
41,technician,married,professional.course,0
35,blue-collar,married,unknown,0
37,blue-collar,married,basic.6y,0
52,management,married,university.degree,0
39,management,divorced,university.degree,0
39,housemaid,married,basic.4y,0
56,blue-collar,married,basic.4y,0
34,services,married,high.school,0
43,unemployed,single,university.degree,0
56,management,married,unknown,0
39,management,married,university.degree,0
53,blue-collar,married,basic.4y,0
38,unknown,divorced,high.school,0
42,blue-collar,married,basic.4y,0
42,blue-collar,married,basic.4y,0
35,admin.,single,high.school,0
40,admin.,married,university.degree,0
51,blue-collar,married,basic.4y,0
60,blue-collar,married,basic.9y,0
56,entrepreneur,married,unknown,0
39,services,divorced,high.school,0
56,entrepreneur,married,unknown,0
40,blue-collar,married,unknown,0
36,blue-collar,married,basic.9y,0
51,blue-collar,married,unknown,0
51,blue-collar,married,unknown,0
43,technician,single,professional.course,0
59,services,married,high.school,0
24,management,single,university.degree,0
37,blue-collar,single,basic.9y,0
40,blue-collar,married,basic.9y,0
42,blue-collar,married,basic.9y,0
39,services,divorced,high.school,0
37,entrepreneur,married,basic.6y,0
38,services,married,high.school,0
56,admin.,divorced,unknown,0
40,blue-collar,married,unknown,0
54,management,divorced,university.degree,0
43,blue-collar,married,high.school,0
36,services,married,high.school,0
45,technician,married,university.degree,0
42,admin.,single,university.degree,0
43,services,married,high.school,0
46,management,married,basic.9y,0
44,services,married,high.school,0
51,admin.,single,basic.6y,0
28,services,married,high.school,0
37,blue-collar,married,basic.9y,0
34,technician,married,high.school,0
46,blue-collar,married,basic.6y,0
36,admin.,married,university.degree,0
54,blue-collar,married,basic.4y,0
57,management,married,university.degree,0
51,technician,married,basic.6y,0
54,retired,married,high.school,0
49,blue-collar,married,basic.4y,0
34,admin.,married,university.degree,0
41,technician,married,professional.course,0
38,blue-collar,single,basic.9y,0
45,management,divorced,university.degree,0
42,technician,married,university.degree,0
34,blue-collar,single,basic.9y,0
48,blue-collar,married,basic.4y,0
37,admin.,married,high.school,0
34,blue-collar,single,basic.9y,0
40,admin.,married,basic.9y,0
43,blue-collar,married,basic.6y,0
33,services,married,high.school,0
32,services,single,basic.6y,0
39,blue-collar,married,high.school,0
43,admin.,married,unknown,0
44,blue-collar,married,basic.9y,0
35,student,single,university.degree,0
35,student,single,university.degree,0
35,unemployed,married,professional.course,0
36,services,single,basic.4y,0
35,student,single,university.degree,0
36,student,single,basic.9y,0
55,housemaid,divorced,university.degree,0
59,admin.,married,university.degree,0
57,retired,married,unknown,0
39,blue-collar,married,professional.course,0
39,housemaid,married,basic.4y,0
30,blue-collar,single,unknown,0
30,blue-collar,single,unknown,0
50,housemaid,married,basic.4y,0
40,services,married,high.school,0
35,admin.,married,high.school,0
43,technician,married,unknown,0
36,services,single,basic.6y,0
46,technician,married,basic.4y,0
40,technician,married,basic.9y,0
58,retired,married,university.degree,0
42,technician,married,university.degree,0
35,admin.,single,university.degree,0
43,retired,married,basic.4y,0
45,blue-collar,married,basic.4y,0
39,admin.,married,professional.course,0
50,services,divorced,professional.course,0
32,management,divorced,basic.4y,0
39,admin.,married,high.school,0
52,self-employed,married,university.degree,0
44,admin.,married,professional.course,0
56,blue-collar,married,basic.4y,0
48,admin.,married,high.school,0
33,services,married,high.school,0
43,management,married,university.degree,0
57,retired,married,high.school,0
36,technician,single,professional.course,0
34,management,married,university.degree,0
34,services,single,basic.9y,0
30,technician,married,university.degree,0
33,services,divorced,unknown,0
32,technician,single,professional.course,0
36,technician,single,high.school,0
36,blue-collar,single,high.school,0
33,services,single,high.school,0
40,technician,divorced,professional.course,0
41,blue-collar,married,basic.4y,0
51,services,married,basic.6y,0
36,technician,married,professional.course,0
28,services,married,unknown,0
53,services,married,high.school,0
58,blue-collar,married,basic.9y,0
45,management,married,basic.9y,0
43,technician,married,unknown,0
33,admin.,married,high.school,0
33,admin.,married,high.school,0
27,blue-collar,single,basic.6y,0
42,technician,married,high.school,0
43,admin.,divorced,basic.9y,0
42,admin.,married,university.degree,0
27,blue-collar,single,basic.6y,0
34,self-employed,single,university.degree,0
31,student,single,university.degree,0
54,management,divorced,university.degree,0
40,self-employed,married,basic.4y,0
52,unemployed,married,high.school,0
47,management,divorced,university.degree,0
49,housemaid,married,basic.9y,0
32,admin.,single,high.school,0
49,housemaid,single,high.school,0
50,blue-collar,married,basic.9y,0
34,services,married,high.school,0
55,blue-collar,married,basic.4y,0
47,technician,single,basic.9y,0
51,retired,married,professional.course,0
47,blue-collar,married,basic.6y,0
56,technician,married,basic.4y,0
53,admin.,married,basic.9y,0
36,blue-collar,married,basic.9y,0
42,blue-collar,divorced,basic.9y,0
44,blue-collar,divorced,basic.6y,0
37,admin.,single,high.school,0
60,blue-collar,married,unknown,0
36,services,married,high.school,0
42,management,divorced,university.degree,0
31,admin.,married,high.school,0
53,technician,divorced,professional.course,0
45,blue-collar,married,basic.4y,0
37,technician,single,professional.course,0
47,self-employed,married,professional.course,0
49,blue-collar,divorced,high.school,0
36,admin.,married,university.degree,0
35,services,divorced,high.school,0
38,unknown,married,unknown,0
38,services,single,high.school,0
50,blue-collar,divorced,high.school,0
59,retired,married,professional.course,0
43,unknown,married,unknown,0
42,admin.,married,high.school,0
40,admin.,married,basic.6y,0
46,blue-collar,married,unknown,0
57,housemaid,divorced,basic.4y,0
42,admin.,married,university.degree,0
41,blue-collar,married,basic.4y,0
54,management,divorced,university.degree,0
27,admin.,single,university.degree,0
36,admin.,married,high.school,0
58,blue-collar,married,professional.course,0
40,management,married,university.degree,0
34,admin.,single,basic.9y,0
33,admin.,divorced,high.school,0
56,retired,married,basic.6y,0
42,blue-collar,married,basic.9y,0
43,services,married,high.school,0
54,management,single,basic.9y,0
53,admin.,single,basic.6y,0
42,technician,single,unknown,0
40,services,married,basic.6y,0
54,technician,married,professional.course,0
40,housemaid,single,professional.course,0
26,admin.,single,university.degree,0
33,admin.,married,high.school,0
35,blue-collar,married,basic.9y,0
36,admin.,married,high.school,0
29,services,single,high.school,0
36,blue-collar,married,basic.9y,0
35,management,married,high.school,0
50,self-employed,single,university.degree,0
46,services,married,high.school,0
49,entrepreneur,married,high.school,0
42,technician,single,professional.course,0
36,blue-collar,single,high.school,0
55,blue-collar,married,basic.9y,0
41,management,married,university.degree,0
57,management,married,professional.course,0
32,services,single,high.school,0
49,admin.,married,basic.9y,0
57,unknown,married,unknown,0
58,blue-collar,divorced,basic.4y,0
52,technician,married,high.school,0
50,services,divorced,professional.course,0
41,blue-collar,single,basic.9y,0
33,entrepreneur,married,university.degree,0
